"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"tomotopy__20ng__k100__i200__t12__r1","threads","tomotopy","Python","20ng",100,200,12,1,7.7208713051,8.46,241252,0.56623167347,0.16411206329,0.13756502219,0.10008921679,"0.14.0"
"tomotopy__20ng__k100__i500__t1__r1","frontier","tomotopy","Python","20ng",100,500,1,1,92.8933651689,93.62,241972,0.57757240804,0.16630686395,0.14334543668,0.098238370495,"0.14.0"
"topicmodels-gibbs__20ng__k100__i20__t1__r1","frontier","topicmodels-gibbs","R","20ng",100,20,1,1,28.75,49.11,1407764,0.51333035028,0.14376363251,0.13001207166,0.088940843639,"0.2.17"
"topicmodels-gibbs__20ng__k100__i50__t1__r1","frontier","topicmodels-gibbs","R","20ng",100,50,1,1,69.095,89.51,2979904,0.52498736072,0.16004668386,0.13864713785,0.087276096989,"0.2.17"
"topicmodels-gibbs__20ng__k100__i100__t1__r1","frontier","topicmodels-gibbs","R","20ng",100,100,1,1,198.737,231.08,5669640,0.53454132517,0.15917756887,0.1423284084,0.089219304634,"0.2.17"
"topicmodels-gibbs__20ng__k100__i200__t1__r1","frontier","topicmodels-gibbs","R","20ng",100,200,1,1,270.819,291.55,10984804,0.5419513442,0.15990287896,0.1358873084,0.089142642783,"0.2.17"
"topicmodels-gibbs__20ng__k100__i500__t1__r1","frontier","topicmodels-gibbs","R","20ng",100,500,1,1,670.981,692.25,26949860,0.5419513442,0.15990287896,0.1358873084,0.089142642783,"0.2.17"
"topicmodels-vem__20ng__k100__i1__t1__r1","frontier","topicmodels-vem","R","20ng",100,1,1,1,222.891,245.8,24297488,0.13681578296,0.093725664402,0.092569451092,0.028971080006,"0.2.17"
"topicmodels-vem__20ng__k100__i2__t1__r1","frontier","topicmodels-vem","R","20ng",100,2,1,1,316.96,340.14,24297296,0.35052275566,0.1228410139,0.10843414646,0.087266748262,"0.2.17"
"topicmodels-vem__20ng__k100__i5__t1__r1","frontier","topicmodels-vem","R","20ng",100,5,1,1,570.011,593.58,24297292,0.5220441176,0.14427853325,0.12406554558,0.09468155163,"0.2.17"
"topicmodels-vem__20ng__k100__i10__t1__r1","frontier","topicmodels-vem","R","20ng",100,10,1,1,954.7,979.16,24297872,0.54446258051,0.15736990767,0.13236436276,0.09859095521,"0.2.17"
"topicmodels-vem__20ng__k100__i25__t1__r1","frontier","topicmodels-vem","R","20ng",100,25,1,1,2029.525,2055.27,24297836,0.54989767255,0.15941787198,0.14059932573,0.099827614665,"0.2.17"
"bigartm__ap__k25__i10__t1__r1","k","bigartm","Python","ap",25,10,1,1,6.5394423571,7.21,331044,0.10778636685,0.13899201949,0.12549991534,0.089450712841,"0.9.2"
"bigartm__ap__k50__i10__t1__r1","k","bigartm","Python","ap",50,10,1,1,7.6753837303,8.4,331504,0.14190203185,0.14063803243,0.11365743292,0.092927953196,"0.9.2"
"bigartm__ap__k100__i1__t1__r1","frontier","bigartm","Python","ap",100,1,1,1,4.5965079959,5.34,331276,0.019907187457,0.056436757575,0.055833639361,0.020942337497,"0.9.2"
"bigartm__ap__k100__i1__t1__r2","frontier","bigartm","Python","ap",100,1,1,2,4.570448997,5.35,331096,0.019800987706,0.056464808187,0.055807440744,0.017483658003,"0.9.2"
"bigartm__ap__k100__i1__t1__r3","frontier","bigartm","Python","ap",100,1,1,3,4.4412266291,5.18,331244,0.019803872506,0.055143168775,0.054901163033,0.019130684621,"0.9.2"
"bigartm__ap__k100__i2__t1__r1","frontier","bigartm","Python","ap",100,2,1,1,5.2244831659,5.97,331404,0.034743736881,0.064751579115,0.054760963043,0.035656152836,"0.9.2"
"bigartm__ap__k100__i2__t1__r2","frontier","bigartm","Python","ap",100,2,1,2,5.2139807283,5.97,331596,0.033888879638,0.065102690296,0.057086735604,0.035728559447,"0.9.2"
"bigartm__ap__k100__i2__t1__r3","frontier","bigartm","Python","ap",100,2,1,3,5.2856344786,6.07,331204,0.034575569248,0.064710677614,0.0574258393,0.031331023844,"0.9.2"
"bigartm__ap__k100__i5__t1__r1","frontier","bigartm","Python","ap",100,5,1,1,7.6434158022,8.42,331264,0.16176329634,0.12568604151,0.10543548058,0.091055130875,"0.9.2"
"bigartm__ap__k100__i5__t1__r2","frontier","bigartm","Python","ap",100,5,1,2,8.7285163091,9.74,330740,0.16887279851,0.12658222686,0.10369250308,0.089427143287,"0.9.2"
"bigartm__ap__k100__i5__t1__r3","frontier","bigartm","Python","ap",100,5,1,3,8.1593840723,8.99,330916,0.16340894917,0.12713144623,0.098451993887,0.088438663024,"0.9.2"
"bigartm__ap__k100__i10__t1__r1","frontier","bigartm","Python","ap",100,10,1,1,11.1310739419,11.99,331024,0.17929641404,0.13350161714,0.11739432453,0.092412375519,"0.9.2"
"bigartm__ap__k100__i10__t1__r2","frontier","bigartm","Python","ap",100,10,1,2,11.9880621708,12.75,331936,0.18488579553,0.1506303182,0.1240635945,0.10139770037,"0.9.2"
"bigartm__ap__k100__i10__t1__r3","frontier","bigartm","Python","ap",100,10,1,3,10.875604555,11.63,331504,0.18476329927,0.15290419299,0.12499697886,0.096596892546,"0.9.2"
